example_id,architecture,category,question,gold,answer,lenient_em,judge_verdict,judge_reason,stratum,audit_verdict,audit_note
5ac19ff65542994d76dcce8f,single_agent,multi_passage,Is The Devils of Loudun and Maskarade both operas?,yes,"Yes, ""The Devils of Loudun"" is an opera composed by Krzysztof Penderecki, and it is specifically mentioned as such in the context provided. However, there is no information given about ""Maskarade"" in the context, so I cannot confirm whether it is an opera or not. Therefore, I can only affirm that ""The Devils of Loudun"" is an opera.",1,incorrect,The system answer does not commit to both being operas.,disagree,incorrect,Confirms only one of the two operas; does not commit to yes.
5a7a06525542990198eaf04f,multi_agent,multi_passage,Who was born first David Draiman or Terry Kath?,David Michael Draiman,"Terry Kath was born first. He was born on January 31, 1946, while David Draiman was born on March 13, 1973 (David Draiman::s0, Terry Kath::s0).",0,correct,"The system answer states that Terry Kath was born first, which is correct.",disagree,incorrect,"Names Terry Kath, not the gold answer (gold likely erroneous; graded against the reference)."
5a7cdf89554299683c1c63b0,rag,multi_hop,The Environment Act 1995 passed under the tutelage of a politician associated with what political party?,British Conservative Party,"The Environment Act 1995 was passed under the ministerial tutelage of John Gummer, who is associated with the Conservative Party. [Environment Act 1995::s0]",0,correct,Conservative Party,disagree,correct,Conservative Party.
5a7754d85542993735360234,single_agent,multi_hop,"Who was born first, Frank I. Cobb or Joseph Pulitzer?",Joseph J. Pulitzer,"Joseph Pulitzer was born first. He was born on April 10, 1847, while Frank I. Cobb was born later on August 6, 1869 (though the birth date of Joseph Pulitzer is not provided in the context, it is a well-known fact). Therefore, based on the information provided, Joseph Pulitzer predates Frank I. Cobb.",0,correct,Joseph Pulitzer,disagree,correct,Commits to Joseph Pulitzer.
5a7fc8d05542992e7d278d86,multi_agent,multi_hop,"Which Air Force member was behind enemy lines for 11 1/2 days and had the largest,longest and most complex rescue mission?","Lieutenant Colonel Iceal E. ""Gene"" Hambleton","The Air Force member behind enemy lines for 11 1/2 days, who was the subject of the largest, longest, and most complex rescue mission during the Vietnam War, is Iceal ""Gene"" Hambleton. His rescue operation was noted for its complexity and duration (Rescue of Bat 21 Bravo::s0; Iceal Hambleton::s4).",0,correct,Iceal 'Gene' Hambleton,disagree,correct,Iceal 'Gene' Hambleton.
5a7dca645542990b8f503aab,rag,multi_passage,"Who was born first, Anaïs Lameche or Darren Hayes?",Darren Stanley Hayes,"Darren Hayes was born first on 8 May 1972, while Anaïs Lameche was born later on 19 August 1987. Therefore, Darren Hayes is older.",0,correct,Darren Hayes,disagree,correct,Darren Hayes.
5adec62a55429975fa854f89,single_agent,multi_hop,"The song that came out ahead of The Wanted's ""Lightning"" on the UK Singles Chart was featured on which album?","""Talk That Talk""","The song that came out ahead of The Wanted's ""Lightning"" on the UK Singles Chart was Rihanna's ""We Found Love,"" which is featured on her album ""Talk That Talk."" However, this specific album information is not provided in the context. Therefore, I must ABSTAIN from providing a definitive answer.",1,incorrect,The system answer abstains from providing a definitive answer about the album.,disagree,incorrect,"Names Talk That Talk, then abstains from a definitive answer."
5adc2e3d554299438c868d6b,multi_agent,single_hop,Jesús Dautt is a Mexican professional footballer who is on loan from a club founded on what date?,28 June 1945,"Jesús Dautt is on loan from Monterrey, which was founded on June 28, 1945. [Jesús Dautt::s0]",0,correct,"June 28, 1945",disagree,correct,"June 28, 1945 = 28 June 1945."
5ab5057b5542991779162d56,rag,multi_hop,What type of movie are Wishing Stairs and Voice?,South Korean horror film,"Wishing Stairs is a 2003 South Korean horror film (CITATION: s0). The context provided does not specify a movie type for ""Voice,"" as it primarily discusses the classification of singing voices rather than a film. Therefore, I will abstain from providing a type for ""Voice.""",1,incorrect,"South Korean horror film for Wishing Stairs, but no commitment for Voice",disagree,incorrect,Answers for Wishing Stairs only and abstains for Voice.
5addc7e35542997545bbbdbe,single_agent,multi_hop,"Which areas of the United States were still able to deny sames sex marriages after the case in which Edith ""Edie"" Windsor was the main plaintiff?","American Samoa, but not on all Native American tribal lands","After the case in which Edith ""Edie"" Windsor was the main plaintiff, same-sex marriage was still able to be denied in certain areas of the United States until the Supreme Court ruling in ""Obergefell v. Hodges"" on June 26, 2015. Prior to this ruling, while same-sex marriage was legal in many jurisdictions, it was not universally recognized across all states (Same-sex marriage in the United States::s3). Following the ""Obergefell v. Hodges"" decision, state-level bans on same-sex marriage were deemed unconstitutional, making same-sex marriage legal in all states, Washington, D.C., and U.S. territories, except for American Samoa and some Native American tribal lands (Same-sex marriage in the United States::s0).",0,correct,American Samoa and some Native American tribal lands,disagree,correct,"Borderline: framing is vague, but it ends by naming American Samoa and some tribal lands as the exceptions, matching the gold."
5ac44b47554299194317396c,multi_agent,multi_passage,"Which became a Cathedral first St Chad's Cathedral, Birmingham or Chelmsford Cathedral?",Metropolitan Cathedral Church and Basilica of Saint Chad,"St Chad's Cathedral, Birmingham became a cathedral first, as it was raised to cathedral status in 1852 (St Chad's Cathedral, Birmingham::s1). In contrast, Chelmsford Cathedral became a cathedral in 1914 when the Anglican Diocese of Chelmsford was created (Chelmsford Cathedral::s1).",0,correct,"St Chad's Cathedral, Birmingham became a cathedral first",disagree,correct,Commits to St Chad's.
5a893f305542993b751ca91e,rag,multi_hop,"The Whitehead Light is located in what town with a population of 2,591 during the 2010 census?",St.George,"The Whitehead Light is located in the town of St. George, Maine, which had a population of 2,591 during the 2010 census (",0,correct,St. George,disagree,correct,St. George.
5a893f305542993b751ca91e,single_agent,multi_hop,"The Whitehead Light is located in what town with a population of 2,591 during the 2010 census?",St.George,"The Whitehead Light is located in the town of St. George, Maine, which had a population of 2,591 during the 2010 census. [St. George, Maine::s1], [Whitehead Light::s1]",0,correct,St. George,disagree,correct,St. George.
5ac440385542997ea680ca4e,multi_agent,multi_hop,Carl von Donop was a colonel of which German auxiliaries?,Hessians,Carl von Donop was a colonel of Hessian auxiliaries who fought in the American Revolutionary War (,0,correct,Hessian auxiliaries,disagree,correct,Hessian auxiliaries = Hessians.
5a7754d85542993735360234,rag,multi_hop,"Who was born first, Frank I. Cobb or Joseph Pulitzer?",Joseph J. Pulitzer,"Joseph Pulitzer was born first on April 10, 1847 (Joseph Pulitzer::s0), while Frank I. Cobb was born later on August 6, 1869 (Frank I. Cobb::s0).",0,correct,Joseph Pulitzer,disagree,correct,Commits to Joseph Pulitzer.
5ade26db5542997c77aded77,single_agent,multi_hop,Why is Bangor Daily News talkin about Sawin Millett?,Commissioner by the Maine Senate,"The Bangor Daily News is discussing Sawin Millett because he was ranked as the ninth most influential person in Maine politics in a poll of policymakers conducted by the newspaper in December 2011 (Sawin Millett::s3). Additionally, he served as the Commissioner of Administrative and Financial Services in the administration of Governor Paul LePage from 2011 to 2014, which highlights his significant role in Maine's political landscape (Sawin Millett::s1).",0,correct,Sawin Millett is identified as the Commissioner by the Maine Senate.,disagree,incorrect,Gives the influence poll as the reason; commissioner role mentioned only as background; no Maine Senate.
5a7e1f5655429965cec5ea81,multi_agent,single_hop,"Which footballer who is an attacking midfielder for Premier League club Stoke City, has Jim Cassell developed?",Stephen James Ireland,The footballer who is an attacking midfielder for Premier League club Stoke City and has been developed by Jim Cassell is Stephen Ireland. [Stephen Ireland::s0],0,correct,Stephen Ireland,disagree,correct,Stephen Ireland.
5a86458b5542991e771815ec,rag,single_hop,What is the population of the city where the Akademisches Kunstmuseum is?,"300,000","The population of Bonn, where the Akademisches Kunstmuseum is located, is over 300,000 (Bonn::s0).",1,incorrect,"over 300,000",disagree,correct,"Borderline: 'over 300,000' is the source's own phrasing of the gold value."
5ae4ebeb55429908b63264bb,single_agent,multi_passage,"Are Jiujiang, Guangdong and Ruzhou located in the same Chinese district?",no,"Jiujiang, Guangdong is located in Nanhai District, Foshan, Guangdong, while Ruzhou is not mentioned in the provided context. Therefore, based on the available information, it cannot be determined if Jiujiang and Ruzhou are located in the same district. 

ABSTAIN.",1,incorrect,The system answer does not commit to the reference answer of 'no'.,disagree,incorrect,Says it cannot be determined and abstains.
5a86458b5542991e771815ec,multi_agent,single_hop,What is the population of the city where the Akademisches Kunstmuseum is?,"300,000","The population of Bonn, where the Akademisches Kunstmuseum is located, is over 300,000 (Bonn::s0).",1,incorrect,"over 300,000",disagree,correct,"Borderline: 'over 300,000' is the source's own phrasing of the gold value."
5abc089b5542993f40c73c57,rag,multi_hop,MacBook offers what brand-type of displays that are higher-resolution than other portable computers?,Retina,"MacBook offers Retina Display, which is a brand name used by Apple for its series of IPS panel displays that have a higher pixel density than traditional displays (Retina Display::s0).",1,correct,Retina Display,agree,correct,Retina.
5a7b73ad5542997c3ec9718c,single_agent,multi_hop,1990 Film Lionheart stars this actor who is best known for what type of films?,martial arts action films,"The 1990 film ""Lionheart"" stars Jean-Claude Van Damme, who is best known for action films (Lionheart (1990 film)::s0).",0,incorrect,action films,agree,incorrect,Borderline: 'action films' drops the 'martial arts' qualifier of the gold.
5a7344e95542991f9a20c6ce,multi_agent,multi_hop,What song was number 4 on the charts when a song from FutureSex/LoveSounds was number 1?,Rudebox,ABSTAIN.,0,incorrect,The system did not provide an answer.,agree,incorrect,Abstains.
5abac35055429901930fa8ae,rag,multi_hop,"Which character did this Australian-American actress who appeared in the movie ""Felony"" play in the Australian soap opera ""Home and Away?""",Angel Parrish,"The context does not provide information about the specific Australian-American actress who appeared in the movie ""Felony"" or the character she played in ""Home and Away."" Therefore, I must ABSTAIN from answering.",0,incorrect,The system abstained from answering instead of providing a specific character name.,agree,incorrect,Abstains.
5a7147fd5542994082a3e758,single_agent,multi_hop,When was the king that started coin production in Copenhagen born?,2 February 1455,ABSTAIN: Agent chose to abstain.,0,incorrect,The system did not provide an answer.,agree,incorrect,Abstains.
5a7c762d55429935c91b51c7,multi_agent,multi_hop,Mike Welch attended high school that serves how many students ?,2200 students,"Mike Welch attended Nashua High School, which serves approximately 2200 students, making it the largest public high school in New Hampshire (Nashua High School South::s4).",1,correct,approximately 2200 students,agree,correct,2200 students.
5ae2120c5542997283cd23ac,rag,multi_hop,What is the name of the record label owned by one of the three artists responsible for creating the 1993 album Honky Tonk Angels?,Dolly Records,ABSTAIN.,0,incorrect,The system did not provide an answer.,agree,incorrect,Abstains.
5abe6f8455429965af743f03,single_agent,single_hop,What country of origin does Robert brothers and Jacques Charles have in common?,French,The country of origin that Robert brothers and Jacques Charles have in common is France. Both the Robert brothers and Jacques Charles are identified as French in the provided context.,1,correct,France,agree,correct,France = French.
5abd605155429924427fcfc9,multi_agent,multi_hop,The person who established the Human Biology journal had released how many publications at his death?,841,ABSTAIN.,0,incorrect,The system did not provide an answer.,agree,incorrect,Abstains.
5a8dde01554299653c1aa159,rag,multi_hop,"In the ""Star Trek"" franchise, DeForest Kelley portrayed a character aboard which starship? ","USS ""Enterprise""","DeForest Kelley portrayed Dr. Leonard ""Bones"" McCoy aboard the fictional Federation starship USS Enterprise in the ""Star Trek"" franchise. [List of Star Trek: The Original Series episodes::s0]",1,correct,USS Enterprise,agree,correct,USS Enterprise.
5a80a7f6554299485f598680,single_agent,multi_hop,Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in which American city in 1907?,Dallas,"Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus in Dallas, Texas in 1907 (",1,correct,Dallas,agree,correct,Dallas.
5ae48e7e55429913cc20449d,multi_agent,multi_hop,"Gualdo Tadino Cathedral, a Roman Catholic cathedral, was dedicated to Saint Bendict of Nursia who is a patron saint of what continent?",Europe,Saint Benedict of Nursia is the patron saint of Europe (Benedict of Nursia::s1).,1,correct,Europe,agree,correct,Europe.
5ade69e455429975fa854ec5,rag,multi_hop,What director worked with Vikram Bhatt on a film starring actors Rajneesh Duggal and Adah Sharma?,Tinu Suresh Desai,"The director who worked with Vikram Bhatt on a film starring Rajneesh Duggal and Adah Sharma is Vikram Bhatt himself, as he directed the film ""1920"" which features both actors.",0,incorrect,The system answer incorrectly identifies Vikram Bhatt as the director instead of Tinu Suresh Desai.,agree,incorrect,"Names Vikram Bhatt himself, not the gold director."
5abd259d55429924427fcf1a,single_agent,single_hop,"Are both Dictyosperma, and Huernia described as a genus?",yes,"Yes, both Dictyosperma and Huernia are described as genera. Huernia is a genus in the family Apocynaceae, first described in 1810 (Huernia::s0). Dictyosperma is a monotypic genus of flowering plants in the palm family (Dictyosperma::s0).",1,correct,yes,agree,correct,Yes.
5ab69f13554299710c8d1ef3,multi_agent,single_hop,Dandong and Hotan are located in what country?,China,"Dandong and Hotan are located in the People's Republic of China. Dandong is a city in Liaoning province (Dandong::s0), and Hotan is an oasis town in Xinjiang, an autonomous region in western China (Hotan::s0).",1,correct,the People's Republic of China,agree,correct,China.
5ab6c4e055429953192ad386,rag,multi_hop,The television director and producer that won a Daytime Emmy Award for work on American television special that airs on Christmas Day on ABC won and Emmy Award for what? ,Winter Olympics opening ceremony,Ron de Moraes won a Daytime Emmy Award for his work on the 2007 Disney Parks Christmas Day Parade (s1).,0,incorrect,The system answer does not commit to the reference answer of Winter Olympics opening ceremony.,agree,incorrect,Describes a Daytime Emmy for a parade; does not give the gold award.
5a7a3cea5542994f819ef182,single_agent,multi_hop,Where was one of the runners born who almost broke Craig Virgin's Illinois Boys Cross Country record?,"Kaunas, Lithuania","One of the runners who almost broke Craig Virgin's Illinois Boys Cross Country record, Chris Derrick, was born in Illinois. However, the specific location of his birth is not mentioned in the provided context. Therefore, I must ABSTAIN from providing a definitive answer.",0,incorrect,The system answer abstains from providing a definitive answer about the birthplace.,agree,incorrect,Abstains.
5adfb698554299603e418385,multi_agent,multi_hop,Who created the manga series originally serialized from 1994-1995with a superheroine?,Tonde Burin,"The manga series with a superheroine that was originally serialized from 1994-1995 is ""Tonde Burin,"" created by an unspecified author in the provided context. It was serialized in Shogakukan's Shōjo magazine ""Ciao"" from August 1994 to September 1995 (CITATION: Tonde Burin::s1).",1,correct,Tonde Burin,agree,correct,"Reviewer example. Question/gold pair is malformed (gold is the series title, not a creator). The answer commits to the gold entity; it declines to name a creator, which the gold does not provide. Judgment call."
5a8834f05542994846c1ce26,rag,multi_hop,What was the nationality of the composer of Chaconne in F minor?,German,"The composer of Chaconne in F minor, Johann Pachelbel, was German. [Chaconne in F minor (Pachelbel)::s0]",1,correct,German,agree,correct,German.
5ab2b2a7554299295394681d,single_agent,multi_passage,Have filmmakers Brent Hodge and Ayoub Qanir both received awards for their work?,yes,"Yes, both filmmakers Brent Hodge and Ayoub Qanir have received awards for their work. Brent Hodge was nominated for two Shorty Awards in 2014 and 2015 for his projects ""The Beetle Roadtrip Sessions"" and ""A Brony Tale"" (Brent Hodge::s4). Ayoub Qanir is noted for his award-winning experimental film series ""Human After All"" (Ayoub Qanir::s0).",1,correct,yes,agree,correct,Yes.
5ac0b1835542992a796ded65,multi_agent,multi_hop,"Bordan Tkachuk was the former CEO of which company, which provides IT products?",Viglen,"Bordan Tkachuk was the former CEO of Viglen, a company that provides IT products and services, including storage systems, servers, workstations, and data/voice communications equipment and services (Viglen::s0).",1,correct,Viglen,agree,correct,Viglen.
5abf08985542997719eab625,rag,multi_passage,"Which band was formed first, Circus Diablo or Magic Dirt?",Magic Dirt,"Magic Dirt was formed first in 1991, while Circus Diablo was formed in early 2006. Therefore, Magic Dirt predates Circus Diablo.",1,correct,Magic Dirt,agree,correct,Magic Dirt.
5ac0b8395542996f0d89cc21,single_agent,multi_hop,"In which European language is ""Olympischerer"" an adjective?",German,ABSTAIN.,0,incorrect,The system did not provide an answer.,agree,incorrect,Abstains.
5a7c04c85542996dd594b881,multi_agent,multi_hop,Arizona State Route 51 (SR 51) is named after a Native American woman belonging to what tribe?,Hopi,"Arizona State Route 51 (SR 51) is named after Lori Piestewa, who was a member of the Hopi tribe. She was the first Native American woman to die in combat in the U.S. Military. [Arizona State Route 51::s3]",1,correct,Hopi,agree,correct,Hopi.
5a75404a55429916b01642be,rag,multi_hop,At what university can the building that served as the fictional household that includes Gomez and Morticia be found?,Syracuse University,"The building that served as the fictional household for Gomez and Morticia Addams can be found at Syracuse University, specifically the Hall of Languages, which served as creative inspiration for the Addams Family home (",1,correct,Syracuse University,agree,correct,Syracuse University.
5a7344e95542991f9a20c6ce,single_agent,multi_hop,What song was number 4 on the charts when a song from FutureSex/LoveSounds was number 1?,Rudebox,ABSTAIN.,0,incorrect,The system did not provide an answer.,agree,incorrect,Abstains.
5abe6f8455429965af743f03,multi_agent,single_hop,What country of origin does Robert brothers and Jacques Charles have in common?,French,The country of origin that Robert brothers and Jacques Charles have in common is France. Both the Robert brothers and Jacques Charles are identified as French in the provided context.,1,correct,France,agree,correct,France = French.
5a7a3cea5542994f819ef182,rag,multi_hop,Where was one of the runners born who almost broke Craig Virgin's Illinois Boys Cross Country record?,"Kaunas, Lithuania","One of the runners who almost broke Craig Virgin's Illinois Boys Cross Country record, Chris Derrick, was born in Illinois. However, the specific location of his birth is not mentioned in the provided context. Therefore, I must ABSTAIN from providing a definitive answer.",0,incorrect,The system answer abstains from providing a definitive answer about the birthplace.,agree,incorrect,Abstains.
5a75404a55429916b01642be,single_agent,multi_hop,At what university can the building that served as the fictional household that includes Gomez and Morticia be found?,Syracuse University,"The building that served as the fictional household for Gomez and Morticia Addams can be found at Syracuse University, specifically the Hall of Languages, which served as creative inspiration for the Addams Family home (",1,correct,Syracuse University,agree,correct,Syracuse University.
5adfda9655429925eb1afac0,multi_agent,multi_passage,"Which band, A Silent Film or The Frames, has more members?",The Frames,"The Frames has more members than A Silent Film. A Silent Film consists of two members: Robert Stevenson and Spencer Walker (A Silent Film::s1). In contrast, The Frames' current lineup includes Glen Hansard, Colm Mac Con Iomaire, Joe Doyle, Rob Bochnik, and Graham Hopkins, totaling five members (The Frames::s3).",1,correct,The Frames has more members than A Silent Film,agree,correct,The Frames.
